Relative Time Stamp (s),Latitude,Longitude,Altitude,Horizontal Accuracy,Vertical Accuracy
 316586.5717795, 51.4056700934203, -0.515850400552634, 16.3984642028809, 10.0, 4.0
 316587.564316833, 51.4057205105679, -0.516017619520906, 16.5688133239746, 10.0, 4.0
 316588.559228875, 51.4057607437031, -0.516131781042103, 16.5830345153809, 30.0, 4.0
 316589.5609955, 51.4057908347355, -0.51619271747816, 16.4245872497559, 30.0, 4.0
 316590.556817958, 51.4057544572758, -0.516001442447785, 15.0697898864746, 30.0, 4.0
 316591.557040542, 51.4057690836968, -0.516258096322898, 14.8615989685059, 30.0, 4.0
 316592.546474125, 51.4058750309529, -0.516433278099183, 15.2997093200684, 30.0, 4.0
 316593.546144583, 51.4059868036317, -0.516305370256786, 15.2690086364746, 30.0, 4.0
 316594.550546833, 51.4060396515312, -0.516342082992677, 15.3033103942871, 30.0, 4.0
 316595.556415042, 51.4060518472003, -0.516231860965971, 15.2599754333496, 30.0, 4.0
 316596.553403542, 51.4059780445429, -0.516259437427406, 15.2667503356934, 30.0, 4.0
 316597.55591825, 51.405936051208, -0.516194058582667, 15.2164573669434, 30.0, 4.0
 316598.56951275, 51.4058807725566, -0.516050728038434, 15.2321434020996, 30.0, 4.0
 316599.557410833, 51.4060422499212, -0.516102025285844, 15.3956565856934, 30.0, 4.0
 316600.554930792, 51.4060476562487, -0.516105461866144, 15.8195457458496, 30.0, 4.0
 316601.558420583, 51.4061284158858, -0.516202691942934, 15.9532127380371, 30.0, 4.0
 316602.555564375, 51.406159470837, -0.51624988205779, 16.3074607849121, 30.0, 4.0
 316603.555928167, 51.4060857100891, -0.516308890656118, 16.4952049255371, 10.0, 4.0
 316604.557856583, 51.4061123226317, -0.516394469887499, 16.7265892028809, 10.0, 4.0
 316605.555760417, 51.4060809324043, -0.516552552581314, 17.0441551208496, 10.0, 4.0
 316606.555736333, 51.4060829859706, -0.516628660262112, 17.2463035583496, 10.0, 4.0
 316607.5572395, 51.4060968161108, -0.516752544790988, 17.5836448669434, 10.0, 4.0
 316608.55704125, 51.4060828183325, -0.516833430156593, 17.2547874450684, 10.0, 4.0
 316609.556863208, 51.406060438651, -0.516935773194318, 17.4283103942871, 10.0, 4.0
 316610.5567025, 51.4059327403562, -0.516584906727557, 17.9032859802246, 10.0, 4.0
 316611.571732833, 51.4058941416921, -0.5164531432097, 18.1486473083496, 10.0, 4.0
 316612.566849292, 51.4058012282955, -0.51630947738934, 18.0289573669434, 10.0, 4.0
 316613.549186042, 51.4058508910718, -0.516243008897189, 18.2456321716309, 10.0, 4.0
 316614.561706083, 51.405856758404, -0.516213336959962, 18.0825462341309, 10.0, 4.0
 316615.552998583, 51.4058632962884, -0.516190370545272, 17.9507102966309, 10.0, 4.0
 316616.552028333, 51.4058591053369, -0.516138654202704, 18.0229759216309, 10.0, 4.0
 316617.548784333, 51.4058586024227, -0.516069503501538, 17.9979515075684, 10.0, 4.0
 316618.553603417, 51.4058498014243, -0.516066737473492, 17.9986839294434, 10.0, 4.0
 316619.553848542, 51.4058428025352, -0.516050728038434, 17.7359886169434, 10.0, 4.0
 316620.548332792, 51.4058414614307, -0.51605491899002, 17.5254783630371, 10.0, 4.0
 316621.547532292, 51.4058420481639, -0.516054667532925, 16.8082138691308, 10.0, 4.0
 316622.54732375, 51.4058364322888, -0.516043603420738, 16.9507869407782, 10.0, 4.0
 316623.547737125, 51.4058312774183, -0.516027845442776, 16.3804225973069, 10.0, 4.0
 316624.553582833, 51.4058311516898, -0.516005381942276, 16.6542664481419, 10.0, 4.0
 316625.550192, 51.4058233565198, -0.515973865986351, 16.3822996578091, 10.0, 4.0
 316626.593951458, 51.4058233565198, -0.515973865986351, 16.8903389530007, 10.0, 4.0
 316627.546681083, 51.4058336243512, -0.51596892066348, 16.0662301077768, 10.0, 4.0
 316628.549262333, 51.4058419643449, -0.51592399366248, 15.6493999534187, 10.0, 4.0
 316629.548310125, 51.4058348397272, -0.515869595110897, 16.2906123486076, 10.0, 4.0
