Relative Time Stamp (s),Latitude,Longitude,Altitude,Horizontal Accuracy,Vertical Accuracy
 311905.539519583, 51.4034646049711, -0.512784043696222, 14.5498361587524, 200.0, 10.0
 311913.5272765, 51.403461168568, -0.512777091935754, 14.3278605783718, 30.0, 8.0
 311914.5198675, 51.403461168568, -0.512777091935754, 13.6050575670516, 30.0, 4.0
 311915.52108875, 51.403461168568, -0.512777091935754, 14.5315615511789, 30.0, 4.0
 311916.525895833, 51.403461168568, -0.512777091935754, 13.5633434241835, 30.0, 4.0
 311917.521043875, 51.403461168568, -0.512777091935754, 13.5955825008499, 30.0, 4.0
 311918.523000208, 51.403461168568, -0.512777091935754, 13.9405861967441, 30.0, 4.0
 311919.5229255, 51.403461168568, -0.512777091935754, 13.800689396985, 30.0, 4.0
 311920.526173917, 51.403461168568, -0.512777091935754, 13.8575389245838, 30.0, 4.0
 311921.523081625, 51.403461168568, -0.512777091935754, 14.2447605183402, 30.0, 4.0
 311922.52575325, 51.403461168568, -0.512777091935754, 13.9735412774945, 30.0, 4.0
 311923.527138708, 51.4034531277863, -0.512782020912712, 13.9735326766968, 200.0, 10.0
 311928.523950708, 51.4034591988208, -0.512785809115053, 14.6397875024554, 30.0, 8.0
 311929.523957875, 51.4034405490862, -0.512874322012544, 14.1834788926068, 10.0, 4.0
 311930.522594083, 51.403416241567, -0.512905251235247, 13.2370049238963, 10.0, 4.0
 311931.524745083, 51.4033930656048, -0.512923691422225, 15.4267655172498, 10.0, 4.0
 311932.52333325, 51.4033667045193, -0.512939784676314, 15.1008138402184, 10.0, 4.0
 311933.528463, 51.4033330092685, -0.512961242348433, 16.8016972411145, 10.0, 4.0
 311934.525749542, 51.4033054328071, -0.512983370572806, 17.7321907314343, 5.0, 4.0
 311935.5275325, 51.4032734558465, -0.513002732769133, 17.2088730461752, 5.0, 4.0
 311936.521920875, 51.4032424847143, -0.513017904013873, 18.8913582630919, 5.0, 4.0
 311937.538915, 51.4032146567957, -0.513029219583155, 19.7714339430945, 5.0, 4.0
 311938.525180083, 51.4031909779193, -0.513038104400517, 20.6550877099431, 5.0, 4.0
 311939.536863583, 51.4031713223564, -0.513046989217878, 21.4743874574293, 5.0, 4.0
 311940.529911125, 51.4031498227747, -0.513052185997845, 22.2838604230327, 5.0, 4.0
 311941.525057375, 51.4031285746502, -0.51305780187297, 22.4295030706429, 5.0, 4.0
 311942.526762167, 51.4031092962729, -0.513061406091333, 26.070976833058, 5.0, 4.0
 311943.526838667, 51.4030886767911, -0.51307054236579, 24.67229119316, 5.0, 4.0
 311944.526420333, 51.4030695241423, -0.513076577336074, 25.9588767501666, 5.0, 4.0
 311945.528510625, 51.4030451747136, -0.513086132705689, 27.8356724458754, 5.0, 4.0
 311946.532937625, 51.4030202804612, -0.513098035008193, 28.0472829916541, 5.0, 4.0
 311947.532316167, 51.4029962243991, -0.513110272586824, 28.5186982935163, 5.0, 4.0
 311948.525038167, 51.4029623615103, -0.513108763844253, 31.3685549128839, 5.0, 3.0
 311949.522801083, 51.4029316837447, -0.513133239001514, 33.6580726800144, 5.0, 3.0
 311950.524333833, 51.4029015927123, -0.513143548742415, 34.1411751255007, 5.0, 4.0
 311951.524683792, 51.4028789196642, -0.513156289235235, 36.6731443903205, 5.0, 4.0
 311952.524533125, 51.4028565399827, -0.513175986707688, 37.3606249331659, 5.0, 4.0
 311953.524917833, 51.4028290892499, -0.513196857646586, 38.6135871170107, 5.0, 4.0
 311954.524567083, 51.4028057456495, -0.513211442158104, 38.8756442042743, 5.0, 4.0
 311955.525451208, 51.4027762413504, -0.513228792697669, 42.3373732431877, 5.0, 4.0
 311956.528476417, 51.4027431747423, -0.513249579817535, 43.5843016126839, 5.0, 4.0
 311957.529074792, 51.4027083479347, -0.513271959499003, 45.2963673423748, 5.0, 4.0
 311958.530518125, 51.4026697911801, -0.513294758275629, 21.8702049255371, 5.0, 4.0
