Relative Time Stamp (s),Magnetic North in Device x,Magnetic North in Device y,Magnetic North in Device z
311861.169317208, 27.5597229003906, 86.0154571533203, -613.212341308594
 311861.171583792, 27.5748291015625, 86.2420196533203, -613.445739746094
 311861.172591583, 27.6182556152344, 86.848388671875, -613.527954101562
 311861.17351425, 27.4743347167969, 86.9919281005859, -613.683715820312
 311861.174274625, 27.5879058837891, 87.5252532958984, -613.996765136719
 311861.17498075, 27.6758728027344, 87.6806793212891, -613.997985839844
 311861.175612625, 28.1882019042969, 88.3863830566406, -613.848876953125
 311861.193268375, 28.5112915039062, 88.5559539794922, -613.155334472656
 311861.194092417, 28.9682922363281, 88.5029144287109, -613.0771484375
 311861.2097765, 29.3715667724609, 88.7504577636719, -612.77001953125
 311861.211636708, 30.1048278808594, 89.3163604736328, -612.465087890625
 311861.226619167, 29.9718780517578, 89.5396118164062, -611.695434570312
 311861.227661167, 31.0590362548828, 89.6705169677734, -611.077758789062
 311861.245153, 31.8766174316406, 90.3172607421875, -610.464721679688
 311861.246133125, 32.9926147460938, 90.8283233642578, -609.61865234375
 311861.259788958, 33.333984375, 91.2266998291016, -608.618347167969
 311861.266912792, 33.7930755615234, 92.2332916259766, -608.163208007812
 311861.276765542, 34.3892669677734, 93.0195465087891, -607.783142089844
 311861.282911708, 34.4194641113281, 93.4006652832031, -607.323303222656
 311861.284191125, 34.8029022216797, 94.4044647216797, -606.63671875
 311861.296850708, 35.5651397705078, 94.2925109863281, -606.094604492188
 311861.297851958, 36.06103515625, 94.6987152099609, -605.016845703125
 311861.303947458, 36.7073822021484, 94.0518341064453, -604.547607421875
 311861.309935458, 37.6181793212891, 93.7995910644531, -603.077880859375
 311861.315579458, 38.3927459716797, 93.768310546875, -601.378845214844
 311861.31647825, 39.161865234375, 93.6612243652344, -599.679138183594
 311861.330241125, 39.9136047363281, 93.3259735107422, -598.1318359375
 311861.331270333, 40.6337890625, 92.5366516113281, -596.349243164062
 311861.334040708, 40.8437652587891, 92.1012573242188, -594.338806152344
 311861.343614917, 41.1353149414062, 91.7447967529297, -592.483276367188
 311861.350337625, 41.1643218994141, 90.9230041503906, -590.392578125
 311861.351545583, 40.6221160888672, 90.6786346435547, -588.153198242188
 311861.363126917, 41.0149078369141, 90.6308898925781, -585.914306640625
 311861.364095458, 40.7009887695312, 90.3958129882812, -584.1376953125
 311861.368755917, 40.5657348632812, 90.4734954833984, -581.900573730469
 311861.376426417, 39.93310546875, 91.05810546875, -579.128051757812
 311861.380812917, 39.2940368652344, 91.5662078857422, -576.509338378906
 311861.381811542, 38.9717102050781, 92.3113555908203, -575.204162597656
 311861.395684958, 38.5438232421875, 93.7308807373047, -574.05908203125
 311861.396506417, 38.2438659667969, 94.8516693115234, -573.605895996094
 311861.401159167, 38.1889343261719, 97.1956176757812, -572.622436523438
 311861.4096665, 38.1867523193359, 99.3103332519531, -572.949035644531
 311861.414092542, 37.8985137939453, 101.641448974609, -572.351684570312
 311861.414981708, 37.1734008789062, 104.327621459961, -572.143798828125
 311861.429266708, 36.1976623535156, 106.700836181641, -571.547729492188
 311861.429996792, 35.2897338867188, 108.927398681641, -570.641662597656
 311861.434527292, 34.3950958251953, 111.379211425781, -570.277709960938
 311861.443045417, 33.0665130615234, 113.130081176758, -569.831176757812
 311861.447433708, 31.6408081054688, 114.575119018555, -569.073486328125
 311861.448310958, 30.4680480957031, 116.334777832031, -568.318115234375
 311861.462465708, 29.1629638671875, 117.331954956055, -567.6337890625
 311861.463303125, 27.6479187011719, 118.548645019531, -566.179748535156
 311861.468223333, 25.6998443603516, 119.065002441406, -564.488830566406
 311861.476631625, 24.1349487304688, 119.598815917969, -563.106323242188
 311861.481011167, 21.8852691650391, 120.248641967773, -562.188659667969
 311861.481915708, 20.0852508544922, 120.768310546875, -561.500854492188
 311861.495936667, 18.1422119140625, 121.432144165039, -560.814453125
 311861.496676708, 16.2354736328125, 121.567260742188, -560.509399414062
 311861.501386292, 14.9447326660156, 121.732360839844, -560.203796386719
 311861.510043542, 13.5274200439453, 122.269149780273, -559.901550292969
 311861.5144505, 12.6342468261719, 121.547622680664, -559.356384277344
 311861.51536575, 12.3038330078125, 121.156997680664, -558.504638671875
