Relative Time Stamp (s),Accel in Device x (g),Accel in Device y (g),Accel in Device z (g),Gravity Unit Vector in x,Gravity Unit Vector in y,Gravity Unit Vector in z,Device Pitch,Device Roll,Device Yaw,Device Rotation Rate in x (s-1),Device Rotation Rate in y (s-1),Device Rotation Rate in z (s-1)
319530.716708083, 0.00343358516693115, 0.0550161600112915, 0.0122413039207458, -0.141540870070457, -0.431984543800354, -0.890705049037933, -0.157591118616259, 0.44669208651433, 0.0685386286356409, 1.05640769004822, 0.398574113845825, -0.511908948421478
 319530.733441625, -0.00585557520389557, 0.0847355127334595, 0.0391193628311157, -0.135776504874229, -0.444583535194397, -0.885387063026428, -0.152167263835495, 0.460709256376689, 0.0637630001073012, 1.41482949256897, 0.309506833553314, -0.696314454078674
 319530.735844917, -0.00605219602584839, 0.133827328681946, 0.0815758109092712, -0.129964649677277, -0.460197567939758, -0.878252446651459, -0.146914758408235, 0.478217711551366, 0.0567039523537225, 1.72170901298523, 0.166237026453018, -0.9550940990448
 319530.749941542, 0.00224918872117996, 0.178635209798813, 0.146853506565094, -0.124548390507698, -0.477982133626938, -0.869494497776031, -0.142274479955651, 0.498355974529304, 0.0468132742691878, 1.923992395401, -0.0610176995396614, -1.23323571681976
 319530.752106125, 0.0139683037996292, 0.195209830999374, 0.198974132537842, -0.119910083711147, -0.496982872486115, -0.859435558319092, -0.138627000214941, 0.520118399292586, 0.0339985022562902, 2.03413677215576, -0.330751448869705, -1.48039090633392
 319530.765952833, 0.0302858874201775, 0.180046796798706, 0.205185055732727, -0.11654382199049, -0.516335308551788, -0.848419308662415, -0.136511476747114, 0.542566134227865, 0.0189196392549003, 2.06207036972046, -0.631994664669037, -1.63760662078857
 319530.768010042, 0.0411506518721581, 0.134798467159271, 0.159450829029083, -0.114438615739346, -0.535433232784271, -0.836788475513458, -0.135916139529637, 0.565020629178402, 0.00295595233715458, 2.04991459846497, -0.824195504188538, -1.65867495536804
 319530.782587667, 0.0162564367055893, 0.0615230798721313, 0.101314187049866, -0.113988980650902, -0.553619027137756, -0.824931740760803, -0.137310377487835, 0.58670375158806, -0.0123462498208922, 1.94950306415558, -1.04658186435699, -1.53424775600433
 319530.784619333, 0.00824480503797531, -0.0805026888847351, 0.0224052667617798, -0.118001274764538, -0.569231808185577, -0.813664972782135, -0.144020311131471, 0.605571199775664, -0.0253816764737422, 1.64710855484009, -1.55125916004181, -1.27588737010956
 319530.799221792, 0.0338529199361801, -0.185311913490295, 0.00508469343185425, -0.12601600587368, -0.582128822803497, -0.803271949291229, -0.155610097249543, 0.621344431815361, -0.0364464469737514, 1.37109112739563, -1.84889543056488, -1.0958172082901
 319530.801286, 0.0190791040658951, -0.146782338619232, 0.0843648910522461, -0.133657351136208, -0.592933237552643, -0.794081687927246, -0.166753861775139, 0.634696593137872, -0.0455973766690121, 1.15461361408234, -1.55176603794098, -0.897222280502319
 319530.8159005, -0.0141229182481766, -0.0630382299423218, 0.126964628696442, -0.138266608119011, -0.601420998573303, -0.786876738071442, -0.17394003114455, 0.645278552316332, -0.0514908490386176, 0.908641993999481, -0.918460786342621, -0.558641791343689
 319530.817966917, -0.0814980864524841, 0.0261833667755127, 0.0932024717330933, -0.140807211399078, -0.607558488845825, -0.781694233417511, -0.178219622280708, 0.652983048935012, -0.0536927610666738, 0.666463971138, -0.461136877536774, -0.231329724192619
 319530.832566042, -0.139533817768097, 0.099446713924408, 0.0983517169952393, -0.143058940768242, -0.610738217830658, -0.778802156448364, -0.181665786651879, 0.656992580854975, -0.0527226580713438, 0.318117469549179, -0.251659035682678, 0.078089639544487
