Relative Time Stamp (s),Latitude,Longitude,Altitude,Horizontal Accuracy,Vertical Accuracy
317311.966400125, 51.4047352178501, -0.511609325185895, 14.1172752380371, 5.0, 3.0
 317312.563824417, 51.4047352178501, -0.511609325185895, 14.1220970153809, 5.0, 3.0
 317313.572395875, 51.4047352178501, -0.511609325185895, 14.3148460388184, 5.0, 3.0
 317314.565414125, 51.4047352178501, -0.511609325185895, 14.3941307067871, 5.0, 3.0
 317315.5697105, 51.4047352178501, -0.511609325185895, 14.3985252380371, 5.0, 3.0
 317316.573581375, 51.4047352178501, -0.511609325185895, 14.4021263122559, 5.0, 3.0
 317317.5661825, 51.4047352178501, -0.511609325185895, 14.4017601013184, 5.0, 3.0
 317318.560508667, 51.4047352178501, -0.511609325185895, 14.4015769958496, 5.0, 3.0
 317319.560248208, 51.4047352178501, -0.511609325185895, 14.4001121520996, 5.0, 3.0
 317320.563387792, 51.4047352178501, -0.511609325185895, 14.3993186950684, 5.0, 3.0
 317321.559522292, 51.4047352178501, -0.511609325185895, 14.3974266052246, 5.0, 3.0
 317322.562857792, 51.4047352178501, -0.511609325185895, 14.3970603942871, 5.0, 3.0
 317323.553112583, 51.4047356369453, -0.51161200739491, 14.4057273864746, 5.0, 3.0
 317324.548596625, 51.4047326613696, -0.511614354327798, 14.3967552185059, 5.0, 3.0
 317325.559663917, 51.404732368003, -0.511615863070368, 14.1582298278809, 5.0, 3.0
 317326.555810917, 51.404732368003, -0.511615863070368, 15.1032053322564, 5.0, 3.0
 317327.555918458, 51.404732368003, -0.511615863070368, 15.0308094823283, 5.0, 3.0
 317328.554608625, 51.404732368003, -0.511615863070368, 14.9886394304884, 5.0, 3.0
 317329.562420833, 51.404732368003, -0.511615863070368, 15.0139144941333, 5.0, 3.0
 317330.557336667, 51.404732368003, -0.511615863070368, 15.1039909467144, 5.0, 3.0
 317331.558683542, 51.404732368003, -0.511615863070368, 15.0167335767245, 5.0, 3.0
 317332.563491375, 51.404732368003, -0.511615863070368, 14.9390765105376, 5.0, 3.0
 317333.559854, 51.404732368003, -0.511615863070368, 15.1669468351879, 5.0, 3.0
 317334.560353917, 51.404732368003, -0.511615863070368, 15.0769777948456, 5.0, 3.0
 317335.565257708, 51.404732368003, -0.511615863070368, 14.9373872362421, 5.0, 3.0
 317336.557120875, 51.404732368003, -0.511615863070368, 14.8524002934474, 5.0, 3.0
 317337.567386375, 51.404732368003, -0.511615863070368, 14.910711765977, 5.0, 3.0
 317338.578123292, 51.404732368003, -0.511615863070368, 14.8479079452247, 5.0, 3.0
 317339.576445167, 51.404732368003, -0.511615863070368, 15.0257856480445, 5.0, 3.0
 317340.571661542, 51.404732368003, -0.511615863070368, 14.8308569147531, 5.0, 3.0
 317341.590846292, 51.404732368003, -0.511615863070368, 14.8617871596398, 5.0, 3.0
 317342.574223042, 51.404732368003, -0.511615863070368, 15.0159042769301, 5.0, 3.0
 317343.578963625, 51.404732368003, -0.511615863070368, 14.9308932917383, 5.0, 3.0
 317344.575705792, 51.404732368003, -0.511615863070368, 14.9959143240376, 5.0, 3.0
 317345.572784417, 51.404732368003, -0.511615863070368, 15.038974156179, 5.0, 3.0
 317346.568914667, 51.404732368003, -0.511615863070368, 14.8853942106164, 5.0, 3.0
 317347.581924792, 51.404732368003, -0.511615863070368, 15.0788897565973, 5.0, 3.0
 317348.576120625, 51.404732368003, -0.511615863070368, 15.0329114912008, 5.0, 3.0
 317349.571369125, 51.404732368003, -0.511615863070368, 14.948789970866, 5.0, 3.0
 317350.580696542, 51.404732368003, -0.511615863070368, 14.7963174394073, 5.0, 3.0
 317351.576546125, 51.404732368003, -0.511615863070368, 14.9922556490739, 5.0, 3.0
 317352.577509625, 51.404732368003, -0.511615863070368, 15.0232222083913, 5.0, 3.0
 317353.571437042, 51.404732368003, -0.511615863070368, 14.9439659819809, 5.0, 3.0
 317354.576517, 51.404732368003, -0.511615863070368, 15.0530303479837, 5.0, 3.0
 317355.598951917, 51.404732368003, -0.511615863070368, 14.9441078346264, 5.0, 3.0
 317356.571938833, 51.404732368003, -0.511615863070368, 15.0099160690019, 5.0, 3.0
 317357.600208583, 51.404732368003, -0.511615863070368, 15.1623818223441, 5.0, 3.0
 317358.568740708, 51.404732368003, -0.511615863070368, 14.5841847550363, 5.0, 3.0
 317359.571210333, 51.404732368003, -0.511615863070368, 14.9054296621291, 5.0, 3.0
 317360.575872042, 51.404732368003, -0.511615863070368, 15.0172375362087, 5.0, 3.0
 317361.58185575, 51.404732368003, -0.511615863070368, 14.7077610611384, 5.0, 3.0
 317362.608597958, 51.404732368003, -0.511615863070368, 14.9194549930668, 5.0, 3.0
 317363.579496208, 51.404732368003, -0.511615863070368, 14.8673044321026, 5.0, 3.0
 317364.602269833, 51.404732368003, -0.511615863070368, 14.80315319995, 5.0, 3.0
 317365.576388, 51.404732368003, -0.511615863070368, 14.6789600171376, 5.0, 3.0
 317366.580608958, 51.404732368003, -0.511615863070368, 14.6391078342337, 5.0, 3.0
 317367.576980625, 51.404732368003, -0.511615863070368, 14.8257172346012, 5.0, 3.0
 317368.55692725, 51.404732368003, -0.511615863070368, 14.6498528197807, 5.0, 3.0
 317369.569594333, 51.404732368003, -0.511615863070368, 14.6511433884254, 5.0, 3.0
 317370.574707042, 51.404732368003, -0.511615863070368, 14.8414171011573, 5.0, 3.0
 317371.575746458, 51.404732368003, -0.511615863070368, 14.8896009877793, 5.0, 3.0
 317372.57226275, 51.404732368003, -0.511615863070368, 14.4887416327839, 5.0, 3.0
 317373.586290125, 51.404732368003, -0.511615863070368, 14.8965903336012, 5.0, 3.0
 317374.574924375, 51.404732368003, -0.511615863070368, 14.4551157271261, 5.0, 3.0
 317375.557108708, 51.404732368003, -0.511615863070368, 14.514183517189, 5.0, 3.0
 317376.551523667, 51.404732368003, -0.511615863070368, 14.7057473466289, 5.0, 3.0
 317377.55541725, 51.404732368003, -0.511615863070368, 14.6290354067431, 5.0, 3.0
 317378.551230833, 51.404732368003, -0.511615863070368, 14.6077468574517, 5.0, 3.0
 317379.5533635, 51.404732368003, -0.511615863070368, 14.6561732766813, 5.0, 3.0
 317380.552925375, 51.404732368003, -0.511615863070368, 14.523293552661, 5.0, 3.0
 317381.555238, 51.404732368003, -0.511615863070368, 14.4638457049962, 5.0, 3.0
 317382.554326208, 51.404732368003, -0.511615863070368, 14.7143343559551, 5.0, 3.0
 317383.554100792, 51.404732368003, -0.511615863070368, 14.6439845191449, 5.0, 3.0
 317384.555461625, 51.404732368003, -0.511615863070368, 14.5795330159981, 5.0, 3.0
 317385.553441042, 51.404732368003, -0.511615863070368, 14.5622210013285, 5.0, 3.0
 317386.552582583, 51.404732368003, -0.511615863070368, 14.548379954894, 5.0, 3.0
 317387.604105208, 51.404732368003, -0.511615863070368, 14.5573376259133, 5.0, 3.0
 317388.584255583, 51.404732368003, -0.511615863070368, 14.6666575826729, 5.0, 3.0
 317389.570796167, 51.404732368003, -0.511615863070368, 14.5026910711031, 5.0, 3.0
 317390.576815917, 51.404732368003, -0.511615863070368, 14.5485467470995, 5.0, 3.0
 317391.568568917, 51.404732368003, -0.511615863070368, 14.4925918665006, 5.0, 3.0
 317392.585452875, 51.404732368003, -0.511615863070368, 14.4485385469761, 5.0, 3.0
